  -3.14159   -1.00000
  -3.07876   -0.99803
  -3.01593   -0.99211
  -2.95310   -0.98229
  -2.89027   -0.96858
  -2.82743   -0.95106
  -2.76460   -0.92978
  -2.70177   -0.90483
  -2.63894   -0.87631
  -2.57611   -0.84433
  -2.51327   -0.80902
  -2.45044   -0.77051
  -2.38761   -0.72897
  -2.32478   -0.68455
  -2.26195   -0.63742
  -2.19911   -0.58779
  -2.13628   -0.53583
  -2.07345   -0.48175
  -2.01062   -0.42578
  -1.94779   -0.36812
  -1.88496   -0.30902
  -1.82212   -0.24869
  -1.75929   -0.18738
  -1.69646   -0.12533
  -1.63363   -0.06279
  -1.57080    0.00000
  -1.50796    0.06279
  -1.44513    0.12533
  -1.38230    0.18738
  -1.31947    0.24869
  -1.25664    0.30902
  -1.19381    0.36812
  -1.13097    0.42578
  -1.06814    0.48175
  -1.00531    0.53583
  -0.94248    0.58779
  -0.87965    0.63742
  -0.81681    0.68455
  -0.75398    0.72897
  -0.69115    0.77051
  -0.62832    0.80902
  -0.56549    0.84433
  -0.50265    0.87631
  -0.43982    0.90483
  -0.37699    0.92978
  -0.31416    0.95106
  -0.25133    0.96858
  -0.18850    0.98229
  -0.12566    0.99211
  -0.06283    0.99803
   0.00000    1.00000
   0.06283    0.99803
   0.12566    0.99211
   0.18850    0.98229
   0.25133    0.96858
   0.31416    0.95106
   0.37699    0.92978
   0.43982    0.90483
   0.50265    0.87631
   0.56549    0.84433
   0.62832    0.80902
   0.69115    0.77051
   0.75398    0.72897
   0.81681    0.68455
   0.87965    0.63742
   0.94248    0.58779
   1.00531    0.53583
   1.06814    0.48175
   1.13097    0.42578
   1.19381    0.36812
   1.25664    0.30902
   1.31947    0.24869
   1.38230    0.18738
   1.44513    0.12533
   1.50796    0.06279
   1.57080    0.00000
   1.63363   -0.06279
   1.69646   -0.12533
   1.75929   -0.18738
   1.82212   -0.24869
   1.88496   -0.30902
   1.94779   -0.36812
   2.01062   -0.42578
   2.07345   -0.48175
   2.13628   -0.53583
   2.19911   -0.58779
   2.26195   -0.63742
   2.32478   -0.68455
   2.38761   -0.72897
   2.45044   -0.77051
   2.51327   -0.80902
   2.57611   -0.84433
   2.63894   -0.87631
   2.70177   -0.90483
   2.76460   -0.92978
   2.82743   -0.95106
   2.89027   -0.96858
   2.95310   -0.98229
   3.01593   -0.99211
   3.07876   -0.99803
